timestamp,src,dst,l3,l4,sport,dport,length,apps
1756455513.196227,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455513.196227,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455513.196227,192.168.160.245,192.168.160.245,ARP,,,,60,
1756455513.196653,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455513.196653,::,ff02::1:ff15:115e,IPv6,,,,78,
1756455513.298066,192.168.160.1,192.168.160.162,ARP,,,,60,
1756455513.401104,192.168.160.134,239.255.255.250,IPv4,UDP,58061,1900,217,
1756455513.401104,192.168.160.37,192.168.160.99,ARP,,,,60,
1756455513.401104,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455513.401562,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455513.707715,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455513.81046,::,ff02::1:ff01:2,IPv6,,,,78,
1756455513.81046,2001:250:3000:1::1:2,ff02::1,IPv6,,,,86,
1756455513.81046,2001:250:3000:1::1:2,ff02::1,IPv6,,,,86,
1756455513.810879,192.168.160.1,192.168.160.91,ARP,,,,60,
1756455514.015176,192.168.160.1,192.168.160.62,ARP,,,,60,
1756455514.061049,192.168.160.94,4.2.2.2,IPv4,UDP,53633,53,92,dns
1756455514.117649,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455514.117649,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455514.117649,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455514.218349,4.2.2.2,192.168.160.94,IPv4,UDP,53,53633,212,dns
1756455514.21993,192.168.160.120,192.168.160.1,ARP,,,,60,
1756455514.21993,192.168.160.90,192.168.160.91,ARP,,,,60,
1756455514.220417,192.168.160.94,20.42.73.28,IPv4,TCP,58004,443,66,https
1756455514.224366,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,66,https
1756455514.22464,192.168.160.94,20.42.73.28,IPv4,TCP,58004,443,54,https
1756455514.225704,192.168.160.94,20.42.73.28,IPv4,TCP,58004,443,571,https
1756455514.229865,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,60,https
1756455514.322609,192.168.160.1,192.168.160.2,ARP,,,,60,
1756455514.425014,192.168.160.37,192.168.160.99,ARP,,,,60,
1756455514.425014,192.168.160.1,192.168.160.162,ARP,,,,60,
1756455514.425655,192.168.160.52,192.168.160.255,IPv4,UDP,42115,58581,144,
1756455514.425655,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455514.426303,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455514.705797,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,153,https
1756455514.708997,192.168.160.94,20.42.73.28,IPv4,TCP,58004,443,491,https
1756455514.712916,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,60,https
1756455514.732086,192.168.160.90,192.168.160.91,ARP,,,,60,
1756455514.833989,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455514.934849,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,1514,https
1756455514.935224,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,1490,https
1756455514.935224,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,1514,https
1756455514.935428,192.168.160.94,20.42.73.28,IPv4,TCP,58004,443,54,https
1756455514.93581,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,189,https
1756455514.936016,192.168.160.94,20.42.73.28,IPv4,TCP,58004,443,54,https
1756455514.937267,192.168.160.1,192.168.160.91,ARP,,,,60,
1756455514.941921,192.168.160.94,20.42.73.28,IPv4,TCP,58004,443,1514,https
1756455514.941921,192.168.160.94,20.42.73.28,IPv4,TCP,58004,443,616,https
1756455514.947409,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,60,https
1756455514.94754,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,60,https
1756455515.141592,192.168.160.1,192.168.160.62,ARP,,,,60,
1756455515.141592,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455515.141592,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455515.158066,192.168.160.94,172.67.73.98,IPv4,TCP,64528,443,119,https
1756455515.164645,172.67.73.98,192.168.160.94,IPv4,TCP,443,64528,60,https
1756455515.164645,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,157,https
1756455515.166244,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,519,https
1756455515.166691,192.168.160.94,20.42.73.28,IPv4,TCP,58004,443,54,https
1756455515.166784,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,60,https
1756455515.166916,192.168.160.94,20.42.73.28,IPv4,TCP,58004,443,54,https
1756455515.168903,192.168.160.94,20.42.73.28,IPv4,TCP,58004,443,78,https
1756455515.169432,192.168.160.94,20.42.73.28,IPv4,TCP,58004,443,54,https
1756455515.170938,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,60,https
1756455515.171888,20.42.73.28,192.168.160.94,IPv4,TCP,443,58004,60,https
1756455515.592133,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455515.592133,192.168.160.1,192.168.160.2,ARP,,,,60,
1756455515.592277,192.168.160.1,192.168.160.215,ARP,,,,60,
1756455515.592277,192.168.160.37,192.168.160.99,ARP,,,,60,
1756455515.592277,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455515.592277,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455515.59267,192.168.160.1,192.168.160.162,ARP,,,,60,
1756455515.59267,fe80::7474:cff:fe8b:133a,ff02::fb,IPv6,UDP,5353,5353,312,dns
1756455515.59267,192.168.160.153,192.168.160.255,IPv4,UDP,62130,3490,594,
1756455515.59267,172.67.73.98,192.168.160.94,IPv4,TCP,443,64528,437,https
1756455515.59267,172.67.73.98,192.168.160.94,IPv4,TCP,443,64528,85,https
1756455515.593695,192.168.160.94,172.67.73.98,IPv4,TCP,64528,443,54,https
1756455515.596286,192.168.160.94,172.67.73.98,IPv4,TCP,64528,443,89,https
1756455515.599011,172.67.73.98,192.168.160.94,IPv4,TCP,443,64528,60,https
1756455516.165403,192.168.160.204,239.255.255.250,IPv4,UDP,1900,1900,143,
1756455516.165403,192.168.160.90,192.168.160.91,ARP,,,,60,
1756455516.165724,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455516.165724,192.168.160.96,192.168.160.255,IPv4,UDP,138,138,243,
1756455516.165724,192.168.160.1,192.168.160.91,ARP,,,,60,
1756455516.677551,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455516.677551,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455516.677551,192.168.160.1,192.168.160.62,ARP,,,,60,
1756455516.677551,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455516.677942,192.168.160.52,192.168.160.255,IPv4,UDP,42115,58581,144,
1756455516.677942,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455516.677942,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455516.677942,192.168.160.1,192.168.160.215,ARP,,,,60,
1756455516.677942,192.168.160.1,192.168.160.2,ARP,,,,60,
1756455516.677942,192.168.160.52,192.168.160.1,ARP,,,,60,
1756455516.677942,192.168.160.1,192.168.160.162,ARP,,,,60,
1756455517.177741,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455517.498136,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455517.498136,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455517.498136,192.168.160.90,192.168.160.91,ARP,,,,60,
1756455517.498486,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455517.498486,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455517.498486,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455517.498486,192.168.160.1,192.168.160.2,ARP,,,,60,
1756455517.498486,192.168.160.1,192.168.160.215,ARP,,,,60,
1756455517.788835,192.168.160.94,35.190.80.1,IPv4,TCP,61216,443,55,https
1756455517.789823,fe80::6cda:7aff:fe65:4079,ff02::2,IPv6,,,,70,
1756455517.792052,35.190.80.1,192.168.160.94,IPv4,TCP,443,61216,66,https
1756455518.213493,35.244.180.134,192.168.160.94,IPv4,TCP,443,54711,182,https
1756455518.213493,35.244.180.134,192.168.160.94,IPv4,TCP,443,54711,298,https
1756455518.213493,35.244.180.134,192.168.160.94,IPv4,TCP,443,54711,85,https
1756455518.213493,35.244.180.134,192.168.160.94,IPv4,TCP,443,54711,93,https
1756455518.213493,fe80::5192:7468:47fa:4bc4,ff02::16,IPv6,,,,90,
1756455518.213895,192.168.160.92,224.0.0.22,IPv4,,,,54,
1756455518.213895,fe80::5192:7468:47fa:4bc4,ff02::16,IPv6,,,,90,
1756455518.213895,192.168.160.92,224.0.0.22,IPv4,,,,54,
1756455518.213895,192.168.160.205,239.255.255.250,IPv4,UDP,1900,1900,143,
1756455518.213895,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455518.213895,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455518.21396,192.168.160.94,35.244.180.134,IPv4,TCP,54711,443,54,https
1756455518.214153,192.168.160.94,35.244.180.134,IPv4,TCP,54711,443,54,https
1756455518.214537,192.168.160.90,192.168.160.91,ARP,,,,60,
1756455518.214537,fe80::1607:8ff:fe15:115e,ff02::2,IPv6,,,,70,
1756455518.214818,192.168.160.94,35.244.180.134,IPv4,TCP,54711,443,89,https
1756455518.214976,192.168.160.94,35.244.180.134,IPv4,TCP,54711,443,93,https
1756455518.21511,192.168.160.94,35.244.180.134,IPv4,TCP,54711,443,89,https
1756455518.217187,35.244.180.134,192.168.160.94,IPv4,TCP,443,54711,60,https
1756455518.217187,35.244.180.134,192.168.160.94,IPv4,TCP,443,54711,60,https
1756455518.225007,192.168.160.94,35.244.180.134,IPv4,TCP,54711,443,296,https
1756455518.228176,35.244.180.134,192.168.160.94,IPv4,TCP,443,54711,60,https
1756455518.726442,192.168.160.52,192.168.160.255,IPv4,UDP,42115,58581,144,
1756455518.726442,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455518.726442,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455518.726442,192.168.160.92,224.0.0.251,IPv4,UDP,5353,5353,123,dns
1756455518.726442,fe80::5192:7468:47fa:4bc4,ff02::fb,IPv6,UDP,5353,5353,143,dns
1756455518.726442,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455518.727695,192.168.160.1,192.168.160.2,ARP,,,,60,
1756455518.727695,35.244.180.134,192.168.160.94,IPv4,TCP,443,54711,322,https
1756455518.727695,192.168.160.92,224.0.0.251,IPv4,UDP,5353,5353,123,dns
1756455518.727695,fe80::5192:7468:47fa:4bc4,ff02::fb,IPv6,UDP,5353,5353,143,dns
1756455518.781488,192.168.160.94,35.244.180.134,IPv4,TCP,54711,443,54,https
1756455519.179722,192.168.160.152,192.168.160.255,IPv4,UDP,55295,3490,594,
1756455519.179722,192.168.160.92,224.0.0.251,IPv4,UDP,5353,5353,123,dns
1756455519.180647,fe80::5192:7468:47fa:4bc4,ff02::fb,IPv6,UDP,5353,5353,143,dns
1756455519.180647,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455519.180647,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455519.180647,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455519.54114,192.168.160.92,224.0.0.251,IPv4,UDP,5353,5353,290,dns
1756455519.54114,fe80::5192:7468:47fa:4bc4,ff02::fb,IPv6,UDP,5353,5353,310,dns
1756455519.54114,192.168.160.90,192.168.160.91,ARP,,,,60,
1756455519.542368,192.168.160.154,192.168.160.255,IPv4,UDP,59772,3490,594,
1756455519.542368,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455519.542368,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455519.793261,192.168.160.94,4.2.2.2,IPv4,UDP,53963,53,74,dns
1756455519.793957,192.168.160.94,4.2.2.2,IPv4,UDP,60361,53,74,dns
1756455519.794705,192.168.160.1,192.168.160.91,ARP,,,,60,
1756455519.794705,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455519.794791,192.168.160.1,192.168.160.215,ARP,,,,60,
1756455520.261571,fe80::e405:43cb:a51c:179b,ff02::1:2,IPv6,UDP,546,547,157,
1756455520.261571,4.2.2.2,192.168.160.94,IPv4,UDP,53,60361,99,dns
1756455520.261571,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455520.261896,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455520.569283,192.168.160.120,192.168.160.1,ARP,,,,60,
1756455520.569283,4.2.2.2,192.168.160.94,IPv4,UDP,53,53963,170,dns
1756455520.569461,192.168.160.203,239.255.255.250,IPv4,UDP,1900,1900,143,
1756455520.569461,192.168.160.90,192.168.160.91,ARP,,,,60,
1756455520.569461,192.168.160.52,192.168.160.255,IPv4,UDP,42115,58581,144,
1756455520.569461,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455520.569461,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455520.569461,192.168.160.1,192.168.160.91,ARP,,,,60,
1756455520.570567,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,66,https
1756455520.574931,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,66,https
1756455520.575138,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455520.576655,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,1514,https
1756455520.576655,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,801,https
1756455520.580707,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455520.581405,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455521.195045,192.168.160.1,192.168.160.62,ARP,,,,60,
1756455521.195126,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455521.195126,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455521.195126,192.168.160.90,192.168.160.91,ARP,,,,60,
1756455521.461005,192.168.160.94,20.249.168.239,IPv4,TCP,56583,443,104,https
1756455521.462591,192.168.160.202,239.255.255.250,IPv4,UDP,1900,1900,143,
1756455521.462591,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455521.462591,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455521.462591,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455521.462928,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1514,https
1756455521.462928,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,86,https
1756455521.462928,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,86,https
1756455521.463333,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455521.463447,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,66,https
1756455521.463896,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,128,https
1756455521.465998,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455521.465998,20.249.168.239,192.168.160.94,IPv4,TCP,443,56583,60,https
1756455521.490461,192.168.160.246,192.168.160.246,ARP,,,,60,
1756455521.592426,20.249.168.239,192.168.160.94,IPv4,TCP,443,56583,93,https
1756455521.642707,192.168.160.94,20.249.168.239,IPv4,TCP,56583,443,54,https
1756455521.69547,192.168.160.1,192.168.160.91,ARP,,,,60,
1756455521.79718,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455522.002506,192.168.160.1,192.168.160.62,ARP,,,,60,
1756455522.10498,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455522.208139,fe80::1607:8ff:fe15:115e,ff02::2,IPv6,,,,70,
1756455522.309568,192.168.160.1,192.168.160.2,ARP,,,,60,
1756455522.309568,192.168.130.28,192.168.130.1,ARP,,,,42,
1756455522.350963,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,146,https
1756455522.351946,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,1514,https
1756455522.351946,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,1514,https
1756455522.351946,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,509,https
1756455522.353745,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455522.354374,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455522.354374,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455522.354374,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455522.412367,::,ff02::1:ff00:9402,IPv6,,,,78,
1756455522.412367,192.168.160.52,192.168.160.255,IPv4,UDP,42115,58581,144,
1756455522.412987,2001:da8:207::9402,ff02::1,IPv6,,,,86,
1756455522.709037,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,242,https
1756455522.712614,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,1101,https
1756455522.712941,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455522.713187,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,85,https
1756455522.715888,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455522.719255,fe80::1607:8ff:fe15:115e,ff02::16,IPv6,,,,110,
1756455522.732315,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,607,https
1756455522.73254,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,93,https
1756455522.732601,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,54,https
1756455522.735265,192.168.160.94,142.250.129.147,IPv4,TCP,60803,443,93,https
1756455522.779982,142.250.129.147,192.168.160.94,IPv4,TCP,443,60803,60,https
1756455522.821565,192.168.160.1,192.168.160.91,ARP,,,,60,
